confirmed,recovered,deceased,Vaccine_doses,pop perc,Population,pop_density,Oxygen Production m/t,Demand,Supply,18-45yrs per,45+yrs perr,hospital,beds,Test Positivity Ratio,Growth in TPR ,Number of tests
18,7,0,30799,37.7,397000,46,1,1,1,48.64,21.08,5,90,1.1,0.6,332119
12,1,0,33217,37.7,397000,46,1,2,1,48.64,21.08,5,90,0.8,-0.3,333671
14,10,0,35447,37.7,397000,46,1,2,1,48.64,21.08,5,90,0.7,-0.1,335784
15,2,0,37671,37.7,397000,46,1,2,3,48.64,21.08,5,90,0.7,0.1,337833
11,10,0,42285,37.7,397000,46,1,2,3,48.64,21.08,5,90,0.7,0.1,339482
8,4,0,48901,37.7,397000,46,1,1,3,48.64,21.08,5,90,0.4,-0.3,341557
38,24,1,55598,37.7,397000,46,1,1,1,48.64,21.08,5,90,2,1.6,343431
15,4,0,60898,37.7,397000,46,1,3,1,48.64,21.08,5,90,0.7,-0.3,345485
27,28,0,67734,37.7,397000,46,1,3,3,48.64,21.08,5,90,1.3,0.6,347489
42,36,1,74108,37.7,397000,46,1,1,1,48.64,21.08,5,90,1.9,0.5,349739
59,54,0,78236,37.7,397000,46,1,3,3,48.64,21.08,5,90,2.5,0.6,352086
31,12,0,83085,37.7,397000,46,1,2,1,48.64,21.08,5,90,1.9,0.7,353754
45,31,0,86926,37.7,397000,46,1,3,1,48.64,21.08,5,90,2.6,0.7,355507
24,33,0,89072,37.7,397000,46,1,2,3,48.64,21.08,5,90,1.2,-1.3,357442
37,33,1,91977,37.7,397000,46,1,3,1,48.64,21.08,5,90,2.5,1.3,358903
42,49,0,94166,37.7,397000,46,1,2,1,48.64,21.08,5,90,2.5,-0.1,360595
45,52,1,96109,37.7,397000,46,1,3,1,48.64,21.08,5,90,4.5,2,361594
51,57,0,97392,37.7,397000,46,1,2,1,48.64,21.08,5,90,3.5,-1,363056
51,53,0,99109,37.7,397000,46,1,3,3,48.64,21.08,5,90,3,-0.5,364735
48,42,0,100588,37.7,397000,46,1,3,3,48.64,21.08,5,90,2.5,-0.6,366683
52,44,1,101770,37.7,397000,46,1,3,1,48.64,21.08,5,90,5.2,2.7,367689
59,37,0,102998,37.7,397000,46,1,3,3,48.64,21.08,5,90,4.7,-0.5,368945
74,58,0,104374,37.7,397000,46,1,1,1,48.64,21.08,5,90,3.8,-0.9,370896
97,72,1,105163,37.7,397000,46,1,1,3,48.64,21.08,5,90,7.4,3.6,372214
38,25,1,105286,37.7,397000,46,1,1,1,48.64,21.08,5,90,4.8,-2.6,373007
66,52,1,106203,37.7,397000,46,1,1,1,48.64,21.08,5,90,8.5,3.7,373785
31,29,0,106880,37.7,397000,46,1,2,2,48.64,21.08,5,90,4.8,-3.7,374428
42,49,1,107756,37.7,397000,46,1,3,2,48.64,21.08,5,90,6.3,1.5,375095
32,30,1,108829,37.7,397000,46,1,1,1,48.64,21.08,5,90,8.4,2.1,375477
56,72,0,109868,37.7,397000,46,1,2,3,48.64,21.08,5,90,11.4,3.1,375967
30,26,2,110657,37.7,397000,46,1,3,2,48.64,21.08,5,90,5.3,-6.2,376536
2558,915,6,3497015,29.6,52221000,308,200,440,440,43.87,22.88,8,365,8.2,0.9,15333851
2765,1245,11,3571233,29.6,52221000,308,200,440,440,43.87,22.88,8,365,8.7,0.5,15365743
3309,1053,12,3806708,29.6,52221000,308,200,440,440,43.87,22.88,8,365,10.4,1.7,15397672
3495,1198,9,3893003,29.6,52221000,308,200,440,440,43.87,22.88,8,365,11,0.7,15429391
3263,1091,11,3913719,29.6,52221000,308,200,440,440,43.87,22.88,8,365,9.7,-1.4,15463146
4228,1483,10,3918529,29.6,52221000,308,200,440,440,43.87,22.88,8,365,11.9,2.2,15498728
4157,1606,18,4563073,29.6,52221000,308,200,440,440,43.87,22.88,8,365,11.6,-0.2,15534460
5086,1745,14,4597577,29.6,52221000,308,200,440,440,43.87,22.88,8,365,14.2,2.6,15570201
6096,2194,20,4603804,29.6,52221000,308,200,440,440,43.87,22.88,8,365,17,2.7,15606163
7224,2332,15,4607975,29.6,52221000,308,200,440,440,43.87,22.88,8,365,20,3.2,15642070
6582,2343,22,4613024,29.6,52221000,308,200,440,440,43.87,22.88,8,365,18.3,-1.8,15677992
5963,2569,27,4756984,29.6,52221000,308,200,440,440,43.87,22.88,8,365,15.8,-2.5,15715757
8987,3116,35,4927736,29.6,52221000,308,200,440,440,43.87,22.88,8,365,23.7,7.9,15753679
9716,3359,38,4968504,29.6,52221000,308,200,440,440,43.87,22.88,8,365,24.5,0.8,15793298
10759,3992,31,5330080,29.6,52221000,308,200,440,440,43.87,22.88,8,365,25.7,1.2,15835169
11766,4441,38,5555014,29.6,52221000,308,200,440,440,43.87,22.88,8,365,25.8,0.1,15880750
11698,4421,37,5670368,29.6,52221000,308,200,440,440,43.87,22.88,8,365,22.9,-2.9,15931722
12634,4304,69,5678628,29.6,52221000,308,200,440,440,43.87,22.88,8,365,20.1,-2.9,15994607
9881,4431,51,5986822,29.6,52221000,308,200,440,440,43.87,22.88,8,365,13.3,-6.7,16068648
11434,7055,64,6177974,29.6,52221000,308,200,440,440,43.87,22.88,8,365,15.4,2,16143083
14669,6433,71,6282487,29.6,52221000,308,200,440,440,43.87,22.88,8,365,19.6,4.3,16217831
14792,8188,57,6354053,29.6,52221000,308,200,440,440,43.87,22.88,8,365,17.2,-2.4,16303866
17354,8468,64,6579817,29.6,52221000,308,200,440,440,43.87,22.88,8,365,20.1,2.9,16390360
19412,11579,61,6700248,29.6,52221000,308,200,440,440,43.87,22.88,8,365,19.8,-0.3,16488574
23920,11411,83,6696306,29.6,52221000,308,200,440,440,43.87,22.88,8,365,20.9,1.2,16602873
18972,10227,71,6729038,29.6,52221000,308,200,440,440,43.87,22.88,8,365,16.5,-4.5,16718148
20034,12207,82,6742700,29.6,52221000,308,200,440,440,43.87,22.88,8,365,17.3,0.8,16833932
22204,11128,85,6916457,29.6,52221000,308,200,440,440,43.87,22.88,8,365,19.1,1.8,16950299
21954,10141,72,7070242,29.6,52221000,308,200,440,440,43.87,22.88,8,365,19.9,0.9,17060446
17188,12749,73,7167599,29.6,52221000,308,200,440,440,43.87,22.88,8,365,17.1,-2.8,17160870
20065,19272,96,7294471,29.6,52221000,308,200,440,440,43.87,22.88,8,365,19.8,2.6,17262441
12,0,0,120397,22.94,1504000,17,34,10,12,42.02,14.66,12,125,2.4,0,416046
2,1,0,126477,22.94,1504000,17,34,10,15,42.02,14.66,12,125,0.4,-2,416577
3,1,0,131304,22.94,1504000,17,34,10,14,42.02,14.66,12,125,0.9,0.6,416897
4,0,0,135099,22.94,1504000,17,34,10,13,42.02,14.66,12,125,2.8,1.8,417041
6,1,0,144244,22.94,1504000,17,34,10,12,42.02,14.66,12,125,1.9,-0.9,417356
14,0,0,151893,22.94,1504000,17,34,10,11,42.02,14.66,12,125,2.2,0.3,417994
10,1,0,158211,22.94,1504000,17,34,10,10,42.02,14.66,12,125,3.4,1.2,418290
8,6,0,161283,22.94,1504000,17,34,10,13,42.02,14.66,12,125,3.8,0.4,418501
28,2,0,166715,22.94,1504000,17,34,10,15,42.02,14.66,12,125,4.9,1.1,419072
19,6,0,170942,22.94,1504000,17,34,10,12,42.02,14.66,12,125,2.9,-2,419731
20,3,0,172669,22.94,1504000,17,34,10,14,42.02,14.66,12,125,8.4,5.5,419969
65,11,0,180287,22.94,1504000,17,34,10,13,42.02,14.66,12,125,5.6,-2.8,421131
61,15,0,186071,22.94,1504000,17,34,10,11,42.02,14.66,12,125,3.1,-2.5,423123
73,16,0,190500,22.94,1504000,17,34,10,12,42.02,14.66,12,125,3.1,0.1,425461
110,9,0,197578,22.94,1504000,17,34,10,14,42.02,14.66,12,125,4,0.9,428202
134,61,0,204542,22.94,1504000,17,34,10,11,42.02,14.66,12,125,4.4,0.4,431231
116,19,0,209180,22.94,1504000,17,34,11,11,42.02,14.66,12,125,3.8,-0.6,434293
61,28,2,210345,22.94,1504000,17,34,12,12,42.02,14.66,12,125,2.6,-1.2,436658
168,25,0,216946,22.94,1504000,17,34,13,12,42.02,14.66,12,125,4.7,2.1,440234
123,28,0,222159,22.94,1504000,17,34,14,13,42.02,14.66,12,125,4,-0.7,443327
165,17,0,227858,22.94,1504000,17,34,15,15,42.02,14.66,12,125,4.4,0.5,447019
194,47,1,234727,22.94,1504000,17,34,12,15,42.02,14.66,12,125,5.5,1.1,450543
163,49,0,241483,22.94,1504000,17,34,10,14,42.02,14.66,12,125,4.8,-0.7,453906
217,56,0,245633,22.94,1504000,17,34,11,14,42.02,14.66,12,125,6.3,1.4,457369
